,_class_name,_library,_group,_path,_lines
0,SVC,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/svm/_classes.py,279
1,GaussianProcessRegressor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/gaussian_process/_gpr.py,644
2,GlorotNormal,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/initializers/initializers.py,41
3,WhiteKernel,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/gaussian_process/kernels.py,121
4,TFSMLayer,keras,TensorFlow/Keras,keras-3.3.3/keras/src/export/export_lib.py,131
5,BytecodeCache,jinja,Flask,jinja-3.1.4/src/jinja2/bccache.py,83
6,TimeseriesGenerator,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/preprocessing/sequence.py,189
7,marcumq,sympy,Other,sympy-sympy-1.12.1/sympy/functions/special/bessel.py,104
8,triang_gen,scipy,Other,scipy-1.13.1/scipy/stats/_continuous_distns.py,71
9,ExtraTreeClassifier,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/tree/_classes.py,272
10,MetaData,scipy,Other,scipy-1.13.1/scipy/io/arff/_arffread.py,72
11,Substitution,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/_docstring.py,42
12,lowergamma,sympy,Other,sympy-sympy-1.12.1/sympy/functions/special/gamma_functions.py,174
13,RequestContext,flask,Flask,flask-3.0.3/src/flask/ctx.py,163
14,Precision,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/metrics/confusion_metrics.py,159
15,LinearModel,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/premade_models/linear.py,181
16,LeavePOut,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/model_selection/_split.py,90
17,make_column_selector,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/compose/_column_transformer.py,87
18,Flatten,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/layers/reshaping/flatten.py,90
19,WorkerTrainingState,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/distribute/worker_training_state.py,192
20,Accuracy,keras,TensorFlow/Keras,keras-3.3.3/keras/src/metrics/accuracy_metrics.py,44
21,SensitivityAtSpecificity,keras,TensorFlow/Keras,keras-3.3.3/keras/src/metrics/confusion_metrics.py,101
22,Reference,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/utils/object_identity.py,34
23,RegressorChain,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/multioutput.py,147
24,LecunNormal,keras,TensorFlow/Keras,keras-3.3.3/keras/src/initializers/random_initializers.py,45
25,GeneratorLikeTrainingLoop,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/engine/training_generator_v1.py,140
26,BatchNormalization,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/normalization/batch_normalization.py,314
27,RationalPredicate,sympy,Other,sympy-sympy-1.12.1/sympy/assumptions/predicates/sets.py,33
28,SymPyDocTestRunner,sympy,Other,sympy-sympy-1.12.1/sympy/testing/runtests.py,75
29,DummyRegressor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/dummy.py,238
30,Rule,werkzeug,Flask,werkzeug-3.0.3/src/werkzeug/routing/rules.py,598
31,PassiveAggressiveRegressor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/linear_model/_passive_aggressive.py,260
32,KroghInterpolator,scipy,Other,scipy-1.13.1/scipy/interpolate/_polyint.py,146
33,dgamma_gen,scipy,Other,scipy-1.13.1/scipy/stats/_continuous_distns.py,75
34,KerasObjectLoader,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/saving/legacy/saved_model/load.py,648
35,BaggingClassifier,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/ensemble/_bagging.py,424
36,MeanSquaredError,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/metrics/regression_metrics.py,33
37,MethodNotAllowed,werkzeug,Flask,werkzeug-3.0.3/src/werkzeug/exceptions.py,34
38,NO,sympy,Other,sympy-sympy-1.12.1/sympy/physics/secondquant.py,339
39,chi2_gen,scipy,Other,scipy-1.13.1/scipy/stats/_continuous_distns.py,87
