k,Sample_ID,Latency,Faithfulness,Docstring_Length,Context_Length
1,0,54.821080923080444,0.8,896,11308
1,1,60.091063022613525,0.8,623,11308
1,2,80.78318691253662,0.8,445,11308
1,3,40.7660129070282,0.8,551,11308
1,4,73.0369291305542,0.8,514,11308
3,0,101.7940149307251,0.8,619,11308
3,1,103.68889689445496,0.8,1018,11308
3,2,118.1506130695343,0.8,268,11308
3,3,162.65530610084534,0.8,429,11308
3,4,100.3488380908966,0.8,274,11308
5,0,123.51357698440552,0.3,2814,11308
5,1,76.17294907569885,0.8,743,11308
5,2,56.82318997383118,0.8,400,11308
5,3,117.37127804756165,0.8,979,11308
5,4,126.19770503044128,0.4,751,11308
10,0,82.74952387809753,0.8,429,11308
10,1,85.0512969493866,0.8,608,11308
10,2,208.53231000900269,0.0,2162,11308
10,3,125.82046484947205,0.8,1339,11308
10,4,58.53460621833801,1.0,776,11308
