k,chunk_size,Sample_ID,Latency,LLM_Faithfulness,Token_Faithfulness,Docstring_Length,Context_Length
1,256,0,34.053869009017944,0.5,0.28,1411,11308
3,256,0,180.88865900039673,0.5,0.2413793103448276,342,11308
5,256,0,61.55293583869934,0.0,0.13725490196078433,3169,11308
10,256,0,44.1628098487854,0.0,0.25333333333333335,2836,11308
1,512,0,22.235002040863037,0.5,0.3076923076923077,328,11308
3,512,0,37.856948137283325,0.0,0.2696629213483146,2088,11308
5,512,0,55.87382197380066,0.0,0.3108108108108108,2242,11308
10,512,0,36.26519417762756,0.5,0.18421052631578946,782,11308
1,1024,0,34.74097681045532,0.8,0.1836734693877551,1158,11308
3,1024,0,36.09304404258728,0.2,0.23880597014925373,1988,11308
5,1024,0,46.60627317428589,0.0,0.3611111111111111,1713,11308
10,1024,0,69.10420608520508,0.3,0.17757009345794392,3184,11308
